,Company_link,company_name,flag
722,/company/BSELINFRA,BSELINFRA,1
723,/company/BSL,BSL,1
729,/company/BURNPUR,BURNPUR,1
730,/company/BUTTERFLY,BUTTERFLY,1
732,/company/CADSYS,CADSYS,1
739,/company/CALSOFT,CALSOFT,1
741,/company/CTE,CTE,1
744,/company/CAMLINFINE,CAMLINFINE,1
745,/company/CAMPUS,CAMPUS,1
746,/company/CANFINHOME,CANFINHOME,1
747,/company/CANBK,CANBK,1
748,/company/CANARYS,CANARYS,1
751,/company/CANTABIL,CANTABIL,1
752,/company/CAPACITE,CAPACITE,1
757,/company/CAPTRUST,CAPTRUST,1
758,/company/CAPLIPOINT,CAPLIPOINT,1
759,/company/CGCL,CGCL,1
761,/company/CAPRIHANS,CAPRIHANS,1
770,/company/CARBORUNIV,CARBORUNIV,1
771,/company/CARERATING,CARERATING,1
772,/company/CAREERP,CAREERP,1
777,/company/CARTRADE,CARTRADE,1
778,/company/CARYSIL,CARYSIL,1
781,/company/CASTROLIND,CASTROLIND,1
784,/company/CCL,CCL,1
786,/company/MAPMYINDIA,MAPMYINDIA,1
787,/company/CEATLTD,CEATLTD,1
790,/company/CEENIKEXPO,CEENIKEXPO,1
793,/company/CELEBRITY,CELEBRITY,1
794,/company/CELLPOINT,CELLPOINT,1
796,/company/CELLECOR,CELLECOR,1
797,/company/CELLO,CELLO,1
801,/company/CENTRALBK,CENTRALBK,1
803,/company/CDSL,CDSL,1
806,/company/CENTRUM,CENTRUM,1
807,/company/CENTUM,CENTUM,1
808,/company/CENTENKA,CENTENKA,1
809,/company/CENTEXT,CENTEXT,1
811,/company/CENTURYPLY,CENTURYPLY,1
812,/company/CENTURYTEX,CENTURYTEX,1
813,/company/CERA,CERA,1
814,/company/CEREBRAINT,CEREBRAINT,1
816,/company/CESC,CESC,1
820,/company/CGPOWER,CGPOWER,1
823,/company/CHALET,CHALET,1
826,/company/CLSEL,CLSEL,1
827,/company/CMNL,CMNL,1
829,/company/CHAMBLFERT,CHAMBLFERT,1
842,/company/CHAVDA,CHAVDA,1
846,/company/CHEMBOND,CHEMBOND,1
849,/company/CHEMCON,CHEMCON,1
852,/company/CHEMFAB,CHEMFAB,1
857,/company/CHEMPLASTS,CHEMPLASTS,1
861,/company/CHENNPETRO,CHENNPETRO,1
863,/company/CHEVIOT,CHEVIOT,1
869,/company/CHOICEIN,CHOICEIN,1
872,/company/CHOLAHLDNG,CHOLAHLDNG,1
873,/company/CHOLAFIN,CHOLAFIN,1
876,/company/CHOWGULSTM,CHOWGULSTM,1
879,/company/CIEINDIA,CIEINDIA,1
880,/company/CIGNITITEC,CIGNITITEC,1
881,/company/CNOVAPETRO,CNOVAPETRO,1
885,/company/CINELINE,CINELINE,1
888,/company/CINEVISTA,CINEVISTA,1
889,/company/CIPLA,CIPLA,1
897,/company/CUB,CUB,1
901,/company/CLEDUCATE,CLEDUCATE,1
908,/company/SPENTEX,SPENTEX,1
909,/company/CLEAN,CLEAN,1
912,/company/CMICABLES,CMICABLES,1
913,/company/CMMIPL,CMMIPL,1
914,/company/CMSINFO,CMSINFO,1
917,/company/COALINDIA,COALINDIA,1
918,/company/COASTCORP,COASTCORP,1
922,/company/COCHINSHIP,COCHINSHIP,1
923,/company/COFFEEDAY,COFFEEDAY,1
924,/company/COFORGE,COFORGE,1
929,/company/COLPAL,COLPAL,1
942,/company/COMMITTED,COMMITTED,1
944,/company/COMPINFO,COMPINFO,1
945,/company/COMPUSOFT,COMPUSOFT,1
946,/company/CAMS,CAMS,1
950,/company/CONCORDBIO,CONCORDBIO,1
956,/company/CONFIPET,CONFIPET,1
958,/company/CCCL,CCCL,1
959,/company/CONSOFINVT,CONSOFINVT,1
963,/company/CONCOR,CONCOR,1
972,/company/CONTI,CONTI,1
975,/company/CONTROLPR,CONTROLPR,1
976,/company/COOLCAPS,COOLCAPS,1
978,/company/CORALFINAC,CORALFINAC,1
981,/company/CORDSCABLE,CORDSCABLE,1
982,/company/COROENGG,COROENGG,1
984,/company/COROMANDEL,COROMANDEL,1
